source_id,mean,median,mode,upper,lower
2034016010860154624,1445.0944312839629,1441.1005356534636,1433.303355902152,1577.0530160666933,1326.7407601622042
2059773204606512896,5538.3190740425625,5274.577396837803,4818.017415273122,8259.640030870345,3713.717298554225
5942573036313602688,4876.555207244767,4439.106597138793,3540.1672613452265,9281.135397452816,1966.4719786073492
5934342916882566144,2982.9272287328836,2715.42741875402,1666.8009769824007,6100.755019934837,788.5776663538722
2032070493752368128,2702.873546838769,2361.705890307422,1880.78739748346,5198.2346634766,1388.227893347139
5804264330468597376,3959.5994181734177,3487.6840764358153,2472.1469689393784,8155.157983202582,1376.469540063473
1867982603902918656,3523.7354869364403,3251.789569242589,2830.372242560709,5832.675422976309,2140.0712203149624
2032046579400319104,4344.132281156972,4206.477246311362,3971.5254389559946,5924.809061985531,3227.800926217858
6842386788091270528,468.50169871005374,465.95281287571316,461.04129960786463,529.7365694471075,415.93616129355695
2163604519994458112,4823.525321240968,4389.6343139021055,3500.166501330026,9288.432875141609,1840.9422221768673
